client_code,product,push_notification
38,Депозит Сберегательный,"Серик, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
39,Премиальная карта,"Ляззат, у вас средний остаток 1 248 239 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
41,Премиальная карта,"Сандугаш, у вас средний остаток 1 164 313 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
42,Премиальная карта,"Рустем, у вас средний остаток 2 948 028 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
43,Кредитная карта,"Нуртас, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
45,Премиальная карта,"Диана, у вас средний остаток 72 552 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
46,Кредитная карта,"Арсен, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
47,Кредитная карта,"Камшат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
48,Кредитная карта,"Ержан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
49,Карта для путешествий,"Амина, в среднем вы тратите 206 355 ₸ в месяц на поездки и отели. С тревел-картой ≈10 318 ₸ возврата в мес. Открыть карту в приложении."
50,Депозит Сберегательный,"Тимурлан, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
51,Премиальная карта,"Жанат, у вас средний остаток 1 429 027 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
52,Депозит Сберегательный,"Милана, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
53,Премиальная карта,"Расул, у вас средний остаток 1 258 584 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
54,Премиальная карта,"Виктория, у вас средний остаток 4 083 294 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
55,Депозит Сберегательный,"Асель, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
56,Карта для путешествий,"Нуркен, в среднем вы тратите 193 975 ₸ в месяц на поездки и отели. С тревел-картой ≈9 699 ₸ возврата в мес. Открыть карту в приложении."
57,Премиальная карта,"Жания, у вас средний остаток 2 757 704 ₸. Премиальная карта даст повышенный кешбэк, страховки и привилегии. Подключить сейчас."
58,Кредитная карта,"Султан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
59,Депозит Сберегательный,"Динара, для стабильного дохода — сберегательный вклад со ставкой до 16,5%. Посмотреть условия."
60,Кредитная карта,"Ермек, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт рассрочку и повышенный кешбэк в любимых категориях. Оформить карту."
